
> web@0.1.0 dev
> next dev --webpack

   ▲ Next.js 16.0.0 (webpack)
   - Local:        http://localhost:3000
   - Network:      http://192.168.1.3:3000

 ✓ Starting...
 ✓ Ready in 4.2s
 GET / 200 in 2.3s (compile: 1903ms, render: 371ms)
 GET /director/workers 200 in 115ms (compile: 14ms, render: 101ms)
 GET /director/sites 200 in 21ms (compile: 4ms, render: 17ms)
 GET / 200 in 23ms (compile: 7ms, render: 16ms)
 GET /director/sites 200 in 18ms (compile: 3ms, render: 15ms)
 GET /director/workers 200 in 15ms (compile: 2ms, render: 13ms)
 GET /director/sites 200 in 22ms (compile: 4ms, render: 19ms)
 GET / 200 in 17ms (compile: 4ms, render: 13ms)
 GET /director/sites 200 in 17ms (compile: 3ms, render: 14ms)
 GET /director/workers 200 in 16ms (compile: 3ms, render: 13ms)
 GET /director/sites 200 in 16ms (compile: 3ms, render: 13ms)
 GET / 200 in 15ms (compile: 4ms, render: 12ms)
 GET /director/sites 200 in 24ms (compile: 3ms, render: 21ms)
 GET /director/workers 200 in 18ms (compile: 4ms, render: 15ms)
 GET /director/sites 200 in 17ms (compile: 3ms, render: 13ms)
 GET /director/workers 200 in 20ms (compile: 3ms, render: 16ms)
 GET /director/sites 200 in 22ms (compile: 3ms, render: 19ms)
 GET /director/planning/1 200 in 882ms (compile: 474ms, render: 408ms)
 GET /director/planning/1 200 in 328ms (compile: 15ms, render: 313ms)
 GET /director/planning/1 200 in 143ms (compile: 13ms, render: 131ms)
 GET /director/planning/1 200 in 94ms (compile: 16ms, render: 78ms)
 GET /director/planning/1 200 in 1229ms (compile: 997ms, render: 232ms)
 GET /director/planning/1 200 in 188ms (compile: 11ms, render: 177ms)
 GET /director/planning/1 200 in 276ms (compile: 213ms, render: 62ms)
 GET /director/planning/1 200 in 133ms (compile: 97ms, render: 37ms)
 GET /director/planning/1 200 in 200ms (compile: 114ms, render: 85ms)
 GET /director/planning/1 200 in 4.0s (compile: 3.9s, render: 145ms)
 GET /director/planning/1 200 in 176ms (compile: 5ms, render: 172ms)
 GET /director/planning/1 200 in 705ms (compile: 152ms, render: 554ms)
 GET /director/planning/1 200 in 467ms (compile: 131ms, render: 336ms)
 GET /director/sites 200 in 142ms (compile: 99ms, render: 43ms)
 GET /director/planning/6 200 in 45ms (compile: 10ms, render: 35ms)
 GET /director/sites 200 in 714ms (compile: 346ms, render: 367ms)
 GET /director/planning/1 200 in 97ms (compile: 37ms, render: 60ms)
 GET /director/planning/3 200 in 38ms (compile: 9ms, render: 29ms)
 GET /director/planning/4 200 in 25ms (compile: 8ms, render: 17ms)
 GET /director/sites/new 200 in 106ms (compile: 81ms, render: 26ms)
 GET /director/planning/7 200 in 28ms (compile: 10ms, render: 18ms)
 GET /director/planning/7 200 in 439ms (compile: 305ms, render: 135ms)
 GET /director/planning/7 200 in 724ms (compile: 526ms, render: 198ms)
 GET /director/planning/7 200 in 481ms (compile: 302ms, render: 179ms)
 GET /director/planning/7 200 in 499ms (compile: 268ms, render: 231ms)
 GET /director/planning/7 200 in 276ms (compile: 201ms, render: 75ms)
 GET /director/sites 200 in 379ms (compile: 293ms, render: 86ms)
 GET /director/sites/new 200 in 55ms (compile: 33ms, render: 22ms)
 GET /director/planning/7 200 in 42ms (compile: 24ms, render: 18ms)
 GET /director/sites/new 200 in 26ms (compile: 4ms, render: 22ms)
 GET /director/planning/7 200 in 26ms (compile: 8ms, render: 19ms)
 GET /director/planning/7 200 in 350ms (compile: 256ms, render: 95ms)
 GET /director/planning/7 200 in 838ms (compile: 35ms, render: 803ms)
 GET /director/planning/7 200 in 309ms (compile: 226ms, render: 83ms)
 ⚠ Fast Refresh had to perform a full reload. Read more: https://nextjs.org/docs/messages/fast-refresh-reload
 GET /director/planning/7 200 in 6.7s (compile: 5.1s, render: 1698ms)
 GET /director/planning/7 200 in 299ms (compile: 153ms, render: 146ms)
 ⚠ Fast Refresh had to perform a full reload. Read more: https://nextjs.org/docs/messages/fast-refresh-reload
 GET /director/planning/7 200 in 5.1s (compile: 4.4s, render: 693ms)
 GET /director/planning/7 200 in 328ms (compile: 6ms, render: 322ms)
